name,realism,deformation,imagination,color_richness,color_contrast,line_combination,line_texture,picture_organization,transformation
0704.png,2,4,4,3,4,3,2,4,4
0705.png,2,3,4,3,4,3,2,3,3
0706.png,2,4,5,4,3,4,3,4,5
0707.png,1,4,5,4,3,3,4,3,4
0708.png,2,4,5,3,4,4,3,3,4
0709.png,1,4,5,3,3,4,2,3,4
0710.png,1,4,5,4,4,3,2,3,4
0711.png,1,4,5,4,4,3,3,3,4
0712.png,1,4,5,4,4,3,2,3,4
0713.png,2,4,4,3,3,3,2,3,4
0714.png,1,4,5,5,4,4,3,3,4
0715.png,2,4,5,5,4,3,4,4,5
0716.png,2,4,5,4,4,3,3,4,4
0717.png,2,3,4,3,3,3,3,3,3
0718.png,1,4,5,4,4,4,3,3,4
0719.png,1,4,5,3,3,2,2,3,4
0720.png,1,4,5,2,3,4,3,3,4
0721.png,1,4,5,5,4,3,2,3,4
0722.png,2,4,5,4,3,4,3,3,4
0723.png,1,5,5,4,4,3,3,3,5
0724.png,2,4,5,3,4,3,3,3,4
0725.png,1,4,5,3,4,4,4,3,5
0726.png,2,3,4,4,4,3,3,3,3
0727.png,2,4,5,3,4,4,4,4,5
0728.png,2,4,5,4,4,3,3,3,4
0729.png,1,4,5,4,4,3,2,3,4
0730.png,1,4,5,4,4,3,3,3,4
0731.png,1,4,5,4,3,2,2,3,4
0732.png,1,4,5,4,3,2,3,3,4
0733.png,1,4,5,5,4,3,3,4,4
0734.png,2,4,5,4,3,3,2,4,5
0735.png,1,4,5,5,5,3,2,3,4
0736.png,1,4,4,3,4,2,2,3,4
0737.png,1,4,5,5,4,3,2,3,4
0738.png,1,4,5,4,3,3,2,3,4
0739.png,1,4,5,4,4,3,2,3,4
0740.png,1,4,5,4,4,3,2,3,4
0741.png,2,4,5,3,4,3,4,3,4
0742.png,1,4,5,4,3,3,2,3,4
0743.png,1,4,5,4,4,3,2,3,4
0744.png,1,4,5,4,4,3,3,3,4
0745.png,1,3,4,5,4,2,2,3,3
0746.png,1,4,5,4,3,4,3,3,4
0747.png,1,4,5,3,4,3,2,3,4
0748.png,2,4,5,4,5,3,3,4,4
0749.png,2,4,4,3,3,3,3,3,4
0750.png,2,4,5,4,4,3,3,3,4
0751.png,2,4,5,4,4,3,3,3,4
0752.png,1,4,5,5,4,3,4,3,4
0753.png,2,4,5,3,3,4,3,4,4
0754.png,1,4,5,5,4,3,2,3,4
0755.png,1,4,5,5,5,4,4,4,4
0756.png,1,4,5,4,4,3,2,3,4
0757.png,1,5,5,5,5,4,3,3,5
0758.png,1,4,5,5,5,3,2,4,4
0759.png,1,4,5,3,4,3,2,3,4
0760.png,1,4,5,5,4,3,3,3,4
0761.png,2,4,5,4,4,3,3,3,4
0762.png,1,4,5,3,4,4,4,3,4
0763.png,1,4,5,3,4,4,4,3,4
0764.png,2,4,5,4,5,3,3,3,4
0765.png,2,4,5,4,4,3,3,3,4
0766.png,1,4,5,4,4,3,2,3,4
0767.png,1,4,4,5,5,3,3,4,4
0768.png,1,4,5,3,3,2,2,3,4
0769.png,1,4,5,3,4,3,2,4,4
0770.png,1,4,5,3,3,3,2,3,4
0771.png,2,4,5,4,4,3,3,4,4
0772.png,2,4,5,5,4,3,3,3,4
0773.png,1,4,5,3,3,4,4,3,4
0774.png,1,4,5,4,3,3,2,4,4
0775.png,1,4,5,4,4,4,4,3,4
0776.png,1,4,4,3,3,3,2,3,4
0777.png,2,4,5,5,4,3,3,4,4
0778.png,1,4,5,5,5,4,3,4,5
0779.png,2,4,4,4,3,3,3,3,4
0780.png,2,3,4,3,3,3,3,3,3
0781.png,2,4,5,5,4,3,4,4,5
0782.png,1,4,5,3,3,2,2,3,4
0783.png,2,4,5,4,4,3,3,3,4
0784.png,1,4,5,5,4,3,3,3,4
0785.png,2,3,4,4,4,3,2,3,3
0786.png,2,4,5,3,4,3,3,4,4
0787.png,1,4,5,5,5,3,3,3,4
0788.png,1,4,5,3,2,3,2,3,4
0789.png,2,4,5,4,3,3,3,3,4
0790.png,1,4,5,4,4,3,3,3,4
0791.png,1,4,5,5,5,4,4,3,4
0792.png,1,4,5,5,4,3,2,3,4
0793.png,1,4,5,3,3,4,4,3,4
0794.png,1,4,5,5,5,3,2,3,4
0795.png,1,4,5,4,4,3,3,3,4
0796.png,1,4,5,4,3,4,3,4,5
0797.png,1,4,5,4,4,3,2,3,4
0798.png,1,4,5,5,5,4,3,4,4
0799.png,1,4,5,5,5,3,2,3,4
0800.png,2,4,5,5,4,3,2,4,4
0801.png,2,4,4,3,4,4,4,3,4
0802.png,1,4,5,4,4,3,2,3,4
0803.png,1,4,5,5,4,3,3,3,4
0804.png,2,4,4,4,5,3,3,4,4
0805.png,2,4,5,3,4,3,3,4,4
0806.png,2,4,5,4,3,4,3,3,4
0807.png,1,4,5,3,4,2,3,3,4
0808.png,1,4,5,3,3,4,3,3,4
0809.png,2,4,5,4,4,3,3,3,4
0810.png,2,4,5,3,4,3,4,3,4
0811.png,1,4,5,4,5,3,4,3,4
0812.png,1,4,5,3,4,4,3,4,4
0813.png,2,4,5,3,3,4,3,4,5
0814.png,1,4,5,4,4,3,3,3,4
0815.png,1,3,4,4,4,3,2,3,3
0816.png,1,3,4,2,3,2,2,2,3
0817.png,1,4,5,4,4,3,2,3,4
0818.png,1,4,5,3,3,2,2,3,4
0819.png,1,4,5,4,4,3,3,3,4
0820.png,2,4,5,4,3,3,3,4,4
0821.png,3,4,5,4,4,4,4,4,4
0822.png,2,4,5,3,3,4,4,3,4
0823.png,2,4,5,4,5,4,3,4,4
0824.png,3,2,4,3,4,5,5,4,3
0825.png,1,4,5,5,4,3,2,3,4
0826.png,1,4,5,4,4,4,4,4,4
0827.png,3,4,4,4,4,4,3,4,4
0828.png,1,4,5,5,4,4,3,4,5
0829.png,2,4,5,4,3,4,4,4,4
0830.png,2,3,4,4,3,3,3,3,3
0831.png,2,4,5,4,3,3,2,4,5
0832.png,2,4,5,5,4,4,3,4,4
0833.png,2,4,5,4,3,4,3,4,5
0834.png,2,4,5,3,3,3,2,4,4
0835.png,2,4,5,4,3,3,3,4,4
0836.png,1,4,5,3,4,3,2,3,4
0837.png,1,4,5,5,4,3,3,4,4
0838.png,3,4,5,4,3,3,2,4,5
0839.png,2,4,4,4,5,3,4,3,4
0840.png,1,4,5,5,4,3,2,3,4
0841.png,1,4,5,3,4,3,2,3,4
0842.png,1,4,5,4,4,3,3,4,4
0843.png,1,4,5,4,4,3,2,3,4
0844.png,1,4,5,5,5,4,3,4,4
0845.png,1,4,5,4,4,3,2,3,4
0846.png,1,4,5,4,4,3,3,3,4
0847.png,1,4,5,3,4,4,4,3,4
0848.png,2,4,4,4,4,3,3,3,4
0849.png,1,4,5,3,4,4,4,3,4
0850.png,1,4,5,4,5,4,3,3,4
0851.png,2,4,5,4,4,3,3,3,4
0852.png,2,3,4,4,4,3,3,3,3
0853.png,1,4,5,5,4,3,2,3,4
0854.png,2,4,5,4,3,3,3,3,4
0855.png,2,4,5,4,5,3,3,4,4
0856.png,1,4,5,4,4,3,2,3,4
0857.png,2,4,5,5,4,3,3,4,4
0858.png,2,3,4,4,4,3,2,3,3
0859.png,2,4,5,4,4,3,3,3,4
0860.png,2,3,4,4,4,3,3,3,3
0861.png,2,3,4,4,3,3,2,3,3
0862.png,2,3,4,4,4,3,3,3,3
0863.png,2,4,5,4,4,3,3,4,4
0864.png,1,3,4,4,4,3,2,3,3
0865.png,2,4,5,3,3,4,3,3,4
0866.png,1,4,5,3,4,4,3,3,4
0867.png,2,3,4,4,3,3,2,3,3
0868.png,1,3,4,3,4,3,2,3,3
0869.png,1,3,4,4,4,3,2,3,3
0870.png,1,4,5,4,5,3,2,3,4
0871.png,1,4,5,5,4,3,2,3,4
0872.png,1,4,5,5,4,3,3,3,4
0873.png,1,3,4,3,3,2,2,3,3
0874.png,1,4,5,4,4,3,3,3,4
0875.png,1,3,4,2,2,3,3,3,3
0876.png,1,4,5,4,4,3,2,3,4
0877.png,1,3,4,3,3,2,2,2,3
0878.png,1,4,5,5,5,3,2,3,4
0879.png,1,4,5,5,5,3,2,3,4
0880.png,1,4,5,4,3,3,2,2,4
0881.png,1,4,5,4,5,3,3,3,4
0882.png,1,4,5,3,4,3,2,3,4
0883.png,1,4,5,5,4,3,3,3,4
0884.png,2,3,4,4,4,3,3,3,3
0885.png,1,4,5,4,4,3,3,3,4
0886.png,1,4,5,4,3,4,3,3,4
0887.png,1,4,5,4,3,3,3,3,4
0888.png,1,4,5,4,3,4,3,3,4
0889.png,1,4,5,5,4,3,2,3,4
0890.png,1,4,5,4,4,3,3,3,4
0891.png,1,4,5,4,3,2,2,3,4
0892.png,1,4,5,4,3,3,2,3,4
0893.png,1,4,5,4,3,2,3,3,4
0894.png,1,4,5,3,3,4,4,3,4
0895.png,2,4,5,3,3,3,2,3,4
0896.png,1,3,4,4,4,3,3,2,3
0897.png,1,4,5,3,3,4,4,3,4
0898.png,1,4,5,5,4,3,2,3,4
0899.png,2,3,4,4,4,3,3,3,3
0900.png,2,4,5,4,4,4,4,3,5
0901.png,1,4,5,4,4,3,3,3,4
0902.png,1,4,5,3,4,3,3,3,4
0903.png,2,3,4,3,4,3,3,3,3
0904.png,2,4,5,3,3,3,2,3,4
0905.png,1,4,5,4,3,3,2,3,4
0906.png,1,4,5,4,5,3,3,3,4
0907.png,1,4,5,2,3,4,4,3,5
0908.png,2,3,4,3,3,3,3,3,3
0909.png,1,4,5,4,4,3,3,3,4
0910.png,1,4,5,4,4,3,2,3,4
0911.png,1,4,5,5,4,3,3,3,4
0912.png,2,4,4,3,3,3,3,3,4
0913.png,2,4,5,5,4,3,3,4,4
0914.png,2,3,4,4,3,3,2,3,3
0915.png,2,4,5,5,4,3,3,4,5
0916.png,1,5,5,3,4,5,5,4,5
0917.png,2,4,5,3,3,4,3,3,4
0918.png,1,5,5,4,4,3,3,3,5
0919.png,1,4,5,3,4,4,3,4,5
0920.png,2,4,4,3,4,3,3,3,4
0921.png,2,4,5,5,4,4,3,4,5
0922.png,2,4,5,5,4,3,3,4,4
0923.png,2,4,5,4,4,3,3,3,4
0924.png,2,4,4,3,5,3,3,3,4
0925.png,2,4,5,4,3,3,3,3,4
0926.png,1,4,5,2,3,4,4,3,4
0927.png,2,4,4,3,3,3,3,3,4
0928.png,1,4,5,3,4,2,2,3,4
0929.png,2,4,5,4,3,3,3,3,4
0930.png,1,4,5,4,3,3,4,3,4
0931.png,2,4,5,4,3,3,3,3,4
0932.png,1,4,4,1,2,3,3,3,4
0933.png,1,4,5,3,3,2,2,3,4
0934.png,2,4,4,3,3,3,2,3,4
0935.png,1,3,4,2,2,3,2,2,3
0936.png,2,3,4,3,4,3,2,3,3
0937.png,2,3,4,3,3,3,2,3,3
0938.png,1,4,5,3,3,3,2,3,4
0939.png,1,3,4,3,3,2,2,2,3
0940.png,1,4,5,3,3,3,2,3,4
0941.png,2,3,4,4,4,3,2,3,3
0942.png,1,4,5,2,3,4,3,3,4
0943.png,2,4,5,4,3,3,3,4,4
0944.png,1,3,4,3,2,3,2,2,3
0945.png,1,4,5,3,2,3,2,2,4
0946.png,1,3,4,2,2,3,2,3,3
0947.png,1,3,4,3,2,2,2,2,3
0948.png,1,4,5,4,4,3,2,3,4
0949.png,2,3,4,3,4,3,3,3,3
0950.png,1,4,5,4,3,3,2,3,4
0951.png,1,4,5,3,3,4,3,3,4
0952.png,1,4,5,4,4,3,2,3,4
0953.png,1,3,4,1,1,3,2,3,3
0954.png,1,4,5,4,4,3,2,3,4
0955.png,2,3,4,3,3,3,3,3,3
0956.png,2,3,4,3,3,3,2,3,3
0957.png,1,4,5,5,4,3,2,4,4
0958.png,2,4,5,4,3,3,2,4,4
0959.png,2,4,5,4,3,4,4,4,4
0960.png,1,4,5,3,3,4,3,4,4
0961.png,2,3,4,3,3,4,4,3,3
0962.png,3,4,4,3,3,4,4,4,4
0963.png,2,3,4,3,3,3,3,3,3
0964.png,1,4,5,5,4,3,3,2,4
0965.png,2,4,5,4,3,3,3,4,4
0966.png,1,4,5,3,4,3,2,3,4
0967.png,1,4,5,4,3,3,2,3,4
0968.png,1,4,5,4,3,4,4,3,4
0969.png,1,5,5,3,4,5,4,4,5
0970.png,1,4,5,4,5,3,3,3,4
0971.png,1,4,5,3,2,4,3,3,4
0972.png,1,4,5,3,3,4,3,3,4
0973.png,1,4,5,3,2,3,3,3,4
0974.png,1,4,5,3,3,4,4,3,4
0975.png,1,4,5,4,5,3,3,3,4
0976.png,2,3,4,3,3,2,2,3,3
0977.png,2,3,4,4,4,3,3,3,3
0978.png,2,4,5,3,4,3,3,4,5
0979.png,2,4,5,4,4,3,3,4,4
0980.png,2,3,4,3,4,3,3,3,3
0981.png,2,4,5,3,4,3,3,3,4
0982.png,1,4,5,3,3,2,2,3,4
0983.png,2,3,4,4,4,3,3,3,3
0984.png,1,4,5,4,3,4,4,3,4
0985.png,1,4,5,3,4,3,2,3,4
0986.png,1,4,5,5,4,2,3,3,4
0987.png,2,4,5,3,4,4,4,3,4
0988.png,1,4,5,4,4,3,3,3,4
0989.png,1,3,4,4,4,3,3,3,3
0990.png,2,4,5,4,3,3,2,3,4
0991.png,1,4,5,4,3,2,3,3,4
0992.png,1,4,5,3,4,2,3,2,4
0993.png,1,4,5,4,4,3,3,2,4
0994.png,1,3,4,3,3,2,2,3,3
0995.png,1,4,5,4,4,3,2,3,4
0996.png,2,4,5,4,3,3,3,3,4
0997.png,1,4,5,5,4,3,2,3,4
0998.png,1,4,5,5,5,3,2,4,5
0999.png,2,3,4,4,4,3,3,3,3
1000.png,1,3,4,3,3,2,2,2,3
1001.png,1,4,5,4,4,3,2,3,4
1002.png,1,4,5,4,3,3,2,2,4
1003.png,2,4,5,4,4,3,3,3,4
1004.png,1,4,5,4,3,3,2,3,4
1005.png,3,4,4,4,5,3,3,4,4
1006.png,2,4,5,5,4,3,3,4,4
1007.png,1,4,5,3,3,4,3,3,4
1008.png,2,3,4,3,4,3,2,3,3
1009.png,2,4,5,3,3,4,3,4,4
1010.png,1,4,5,3,3,3,2,3,4
1011.png,2,4,5,2,3,4,4,4,5
1012.png,1,3,4,3,2,3,2,3,3
1013.png,2,4,5,4,4,3,3,3,4
1014.png,3,4,4,4,4,4,3,4,4
1015.png,2,4,5,5,4,4,3,4,4
1016.png,1,4,5,3,3,4,2,3,4
1017.png,1,4,5,3,4,3,2,3,4
1018.png,2,4,5,4,3,3,2,4,4
1019.png,2,4,5,4,3,4,3,4,5
1020.png,1,4,5,5,5,4,3,4,5
1021.png,1,4,5,3,3,2,2,3,4
1022.png,1,4,5,5,4,3,3,4,5
1023.png,2,3,4,3,3,2,2,3,3
1024.png,2,4,5,3,4,3,2,3,4
1025.png,2,3,4,3,3,3,2,3,3
1026.png,1,3,4,3,2,3,2,2,3
1027.png,2,3,4,2,2,3,3,3,3
1028.png,1,3,4,3,2,3,2,3,3
1029.png,1,3,4,3,3,2,2,3,3
1030.png,1,3,4,3,2,2,2,2,3
1031.png,1,4,5,4,3,3,2,3,4
1032.png,2,3,4,3,3,3,2,3,3
1033.png,1,4,5,4,4,3,2,3,4
1034.png,1,4,5,5,4,3,2,3,4
1035.png,1,4,5,1,1,5,5,4,5
1036.png,1,4,5,4,4,3,2,3,4
1037.png,1,4,4,3,4,3,2,3,4
1038.png,2,3,4,2,2,3,3,3,3
1039.png,2,3,4,3,3,3,2,3,3
1040.png,1,4,5,3,4,4,3,3,4
1041.png,1,4,5,3,3,4,2,4,4
1042.png,2,3,4,3,4,3,3,3,3
1043.png,2,4,5,3,3,4,3,4,5
1044.png,2,4,5,4,3,4,3,3,4
1045.png,1,4,5,3,4,4,3,3,4
